ix,iy,x,y,rho,eigvec
7,24,-3.6,3.2,0.0327478945101879,-0.000508921086590844
7,25,-3.6,3.6,0.0314466227056101,-0.00030671905578643
7,26,-3.6,4,0.0306233511490504,-0.000179714372267076
7,27,-3.6,4.4,0.0301209230091454,-0.000102722412634632
7,28,-3.6,4.8,0.0298230821108773,-5.73681864655158e-05
7,29,-3.6,5.2,0.0296515809704613,-3.14566277593702e-05
7,30,-3.6,5.6,0.0295570941045033,-1.71803604268454e-05
7,31,-3.6,6,0.0294967504674162,1.52224860583272e-07
8,0,-3.2,-6.4,0.0294967504674162,7.20682583781318e-08
8,1,-3.2,-6,0.0295423784311034,-1.52027010206959e-05
8,2,-3.2,-5.6,0.0296131128984692,-2.57112753898534e-05
8,3,-3.2,-5.2,0.0297582602061192,-4.7781396127441e-05
8,4,-3.2,-4.8,0.0300258592284222,-8.83874478374933e-05
8,5,-3.2,-4.4,0.0305034206339486,-0.000161387036837779
8,6,-3.2,-4,0.0313359349560535,-0.000289496693407647
8,7,-3.2,-3.6,0.0327485190918034,-0.000508855188639506
8,8,-3.2,-3.2,0.0350672127147697,-0.000872321110779507
8,9,-3.2,-2.8,0.0387210169904126,-0.00145026864592864
8,10,-3.2,-2.4,0.0441887535767812,-0.00232261019938086
8,11,-3.2,-2,0.0518357150317241,-0.0035468207546979
8,12,-3.2,-1.6,0.0616051382748714,-0.0050996044958284
8,13,-3.2,-1.2,0.0726508534366442,-0.00682564644846589
8,14,-3.2,-0.8,0.083188838930715,-0.0084276769523657
8,15,-3.2,-0.4,0.0908786598804891,-0.00956015050055094
8,16,-3.2,0,0.0937056522603879,-0.00996749956782719
8,17,-3.2,0.4,0.0908766792196541,-0.00955894178357548
8,18,-3.2,0.8,0.083185423612367,-0.00842563663418477
8,19,-3.2,1.2,0.0726468443053354,-0.00682565286061306
8,20,-3.2,1.6,0.0616013131682104,-0.00510100295236991
8,21,-3.2,2,0.0518325503592168,-0.00354608721663291
8,22,-3.2,2.4,0.0441863803012815,-0.00232243124138419
8,23,-3.2,2.8,0.0387193476735128,-0.0014496730698436
8,24,-3.2,3.2,0.0350660423859492,-0.000871943664782976
8,25,-3.2,3.6,0.0327476117848283,-0.00050882925162074
8,26,-3.2,4,0.0313350194858884,-0.000289180923499384
8,27,-3.2,4.4,0.0305021873156709,-0.000160864537701555
8,28,-3.2,4.8,0.0300235359558892,-8.76298474056315e-05
8,29,-3.2,5.2,0.0297553858644006,-4.67939614655951e-05
8,30,-3.2,5.6,0.029611522587534,-2.51582020636829e-05
8,31,-3.2,6,0.0294967504674162,2.56974599194358e-07
9,0,-2.8,-6.4,0.0294967504674162,-1.22942543495748e-07
9,1,-2.8,-6,0.0295824173598472,-2.09093495875016e-05
9,2,-2.8,-5.6,0.0296844366802877,-3.64017581231651e-05
9,3,-2.8,-5.2,0.0298981593782768,-6.88899736258564e-05
9,4,-2.8,-4.8,0.0303014735958338,-0.000130276672732119
9,5,-2.8,-4.4,0.0310415706554095,-0.000244128985181983
9,6,-2.8,-4,0.0323737182874184,-0.000450859731534252
9,7,-2.8,-3.6,0.0347164983260205,-0.000817269226396237
9,8,-2.8,-3.2,0.0387210169904125,-0.00145057690357315
9,9,-2.8,-2.8,0.0453234622657997,-0.00250349055774108
9,10,-2.8,-2.4,0.055685060123279,-0.00416009630745375
9,11,-2.8,-2,0.0708396588082937,-0.0065456247327437
9,12,-2.8,-1.6,0.0908815539796175,-0.00955879064825122
9,13,-2.8,-1.2,0.113966734624625,-0.0127667647559369
9,14,-2.8,-0.8,0.136055998543244,-0.0155441630359743
9,15,-2.8,-0.4,0.152061948668736,-0.0173682574616108
9,16,-2.8,0,0.1578968648823,-0.0179938001255151
9,17,-2.8,0.4,0.152057829361679,-0.0173662190998593
9,18,-2.8,0.8,0.136048829936183,-0.0155439548918423
9,19,-2.8,1.2,0.113958286498764,-0.0127664607277542
9,20,-2.8,1.6,0.0908735696006472,-0.00955646164449017
9,21,-2.8,2,0.070833228692235,-0.00654428638119794
9,22,-2.8,2.4,0.0556804279052793,-0.00416060535296474
9,23,-2.8,2.8,0.0453203521015338,-0.00250305826576302
9,24,-2.8,3.2,0.0387189309708322,-0.00144895633011533
9,25,-2.8,3.6,0.0347149394068733,-0.000816462499996144
9,26,-2.8,4,0.0323721827796179,-0.000450510515529208
9,27,-2.8,4.4,0.03103951911597,-0.000243477325070052
9,28,-2.8,4.8,0.0302975347807176,-0.000129258949956178
9,29,-2.8,5.2,0.0298934019688474,-6.75227157258958e-05
9,30,-2.8,5.6,0.0296820748569798,-3.55778345658421e-05
9,31,-2.8,6,0.0294967504674162,-1.61590411991071e-07
10,0,-2.4,-6.4,0.0294967504674162,-9.70394082404999e-08
10,1,-2.4,-6,0.0296304189735008,-2.79666351459746e-05
10,2,-2.4,-5.6,0.0297718494148685,-4.92853877409383e-05
10,3,-2.4,-5.2,0.0300739604624842,-9.53110758933368e-05
10,4,-2.4,-4.8,0.0306575490911176,-0.000184780807662285
10,5,-2.4,-4.4,0.0317582829588183,-0.000354926834215952
10,6,-2.4,-4,0.0338034363150983,-0.000673769218035774
10,7,-2.4,-3.6,0.0375344256309922,-0.00126245623551036
10,8,-2.4,-3.2,0.0441887535767812,-0.00232297487377575
